Days,Temperature,Moisture Content,Damaged,Fermented
10,0.8427459571820202,0.15012958261082163,0.06439370128714396,0.058640076174381696
20,0.5817625238315985,0.3193405996712429,0.1382465775523235,0.13642303542168982
25,0.44522512798015895,0.41385531569321454,0.16992391482545047,0.16444079414753887
30,0.4026094447342093,0.41258940951868406,0.19039060458539228,0.1844045741592533
35,0.34428175728799715,0.4508662770056029,0.21437807934819664,0.2023884578961688
44,0.30051140969494483,0.4460515868317647,0.24109351987726352,0.2266450940614332
