Days,Temperature,Moisture Content,Damaged,Fermented
10,0.7895381153309629,0.08451848176871174,0.013739505127586024,0.016790492573070685
20,0.5407943478120619,0.21975313683367328,0.04226421416649317,0.05088434123861239
25,0.4169482542600389,0.30445743477524934,0.058882250044368485,0.06573097836273488
30,0.37184924179672263,0.3126033428217373,0.07378220921818865,0.08070516494380908
35,0.3133476285241888,0.33631264320211113,0.08603417732194382,0.09030152609606404
44,0.2600524147090565,0.3317267378366676,0.10148430407010968,0.10206240978832028
